source target length delay admittance
0 1 1.609344 0.1626702181014206 90.9090913979347
1 1 1.609344 0.1626702181014206 90.9090913979347
4 2 442.49999336898327 0.3535045496424107 31.50658826402247
5 2 2700.0000700354576 0.5226457428801118 10.29839883377434
6 3 1.609344 0.14325750073466428 72.44885767819287
7 4 1.609344 0.14377603585723506 71.92679538615187
11 5 34.61826628243723 0.11791893787153836 187.8451945829469
8 7 1.609344 0.027267197192769568 1999.9998650051077
9 7 123.93338805199994 0.2351138958735916 50.09913656498488
14 7 123.93338805199994 0.2351138958735916 50.09913656498488
15 7 332.3353563113974 0.2697543016649848 22.798037388538624
16 8 1.609344 0.023777616207425065 1999.9998650051077
2 9 561.5082400091966 0.612665674825446 7.291818476385547
3 10 676.4409155016403 0.49681951820190745 9.055262315141562
19 10 1.609344 0.1620074708823129 68.49314906849652
22 11 1.609344 0.1620074708823129 68.49314906849652
23 13 1.609344 0.01596402250854383 1999.9998650051077
25 13 699.999975040555 0.23236670088767358 46.98150686687845
31 14 699.999975040555 0.23236670088767358 46.98150686687845
26 15 192.49999604653567 0.16289029772255595 184.67134649005834
32 16 447.50000233761966 0.39694906880611447 38.4885783214886
17 17 517.4999823793769 0.27901386902963254 72.2250412815342
18 17 1.609344 0.030848420619475195 1999.9998650051077
20 18 699.999975040555 0.22613344966779533 46.98150686687845
24 18 602.4999893270433 0.41596675350490764 28.593375883683468
27 18 699.999975040555 0.17915618444706702 46.98150686687845
28 18 1.609344 0.02241483943059184 1999.9998650051077
34 18 699.999975040555 0.29314581299508435 46.98150686687845
35 18 1550.000044517219 0.5229492606251328 14.796186338351559
36 19 447.50000233761966 0.2146574949785904 39.520390983761764
37 20 2700.0000700354576 0.5933962185116716 10.29839883377434
41 22 1.609344 0.07535197347081081 138.88889126128848
40 23 1.609344 0.011808895292024646 1999.9998650051077
44 24 561.5082400091966 0.4119623390035875 7.291818476385547
42 26 99.99999747378752 0.22106092816755502 104.07635685021562
47 26 99.99999747378752 0.22106092816755502 104.07635685021562
48 26 1.609344 0.16934779205265374 72.44885767819287
50 27 1.609344 0.03192256351307241 1999.9998650051077
51 27 647.4999827332795 0.30427940797091235 33.576392058295205
53 28 647.4999827332795 0.28556965245651655 33.576392058295205
38 29 90.33382474534166 0.09186839103245995 14.115175826567102
49 29 1.609344 0.006176568804243095 1999.9998650051077
43 30 14.75274397472845 0.11115272856750726 18.515901358590565
45 30 14.75274397472845 0.09127988434854661 18.515901358590565
56 30 1.609344 0.001 1999.9998650051077
57 30 90.33382474534166 0.10551164252745651 14.115175826567102
58 31 1.609344 0.10408377216316138 72.44885767819287
39 32 1.609344 0.05876861341862633 200.00000443034847
46 32 1.609344 0.05876861341862633 200.00000443034847
60 34 447.50000233761966 0.2020085951410476 39.520390983761764
61 34 33.35402920659007 0.09395672695251274 34.449307592190245
59 35 33.35402920659007 0.09395672695251274 34.449307592190245
62 36 33.35402920659007 0.10504727792843313 34.449307592190245
63 36 1.609344 0.008732124823510589 1999.9998650051077
78 38 33.35402920659007 0.10504690689287847 34.449307592190245
82 40 33.35402920659007 0.10504690689287847 34.449307592190245
84 40 1.609344 0.07597696934961062 200.00000443034847
69 41 1.609344 0.07597696934961062 200.00000443034847
85 41 1.609344 0.006244998177932328 1999.9998650051077
86 41 104.9999991664663 0.09721170646971553 110.37843046240562
79 42 70.00000186963007 0.16339348804493212 132.71040650345577
80 42 87.49999688006938 0.16308386689001164 133.18838783525462
83 42 110.00000085914508 0.2015709584191252 88.82097752787935
72 43 110.00000085914508 0.2015709584191252 88.82097752787935
73 43 1.609344 0.01787652299355124 9999.995252624509
74 43 150.0000071246177 0.2172253803951344 78.0393124566335
87 43 49.99999873689376 0.12832694523459337 243.6127673892136
93 43 482.5000069104135 0.4026988441856719 35.89769890807208
94 43 475.00000800937414 0.37331706606488146 32.197646438751036
64 44 1.609344 0.050052471909524957 200.00000443034847
95 45 52.49999958323315 0.06187471044270101 218.58772646708434
88 46 99.99999747378752 0.08772713957918558 107.4275607856133
90 47 1.609344 0.07657624769018954 87.0321987916746
